ID,Content,User,Date,Lang,Place,Hashtags
1311093368362065921,And... queue the countdown to the next Cyberpunk 2077 release delay. This game could be the most amazing game of all time and it STILL won’t live up to the hype and promises around it.,csharpfritz,2020-09-29 23:59:52+00:00,en,,
1311093335738724354,"Please don't over work your employees. Delay the game, don't crunch. #Cyberpunk2077 @CDPROJEKTRED @CyberpunkGame",ouchies_y,2020-09-29 23:59:44+00:00,en,,['Cyberpunk2077']
1311093283888590848,Cyberpunk 2077 Devs Reportedly Required to Crunch to Meet November Release Date https://t.co/IC18tXq9NG,eldedenlatin,2020-09-29 23:59:32+00:00,en,,
1311093267203719168,If you think this report about the cyberpunk 2077 devs is going to make me not buy the game you're sorely mistaken,thatwonkid91,2020-09-29 23:59:28+00:00,en,,
1311093257930072064,Cyberpunk 2077 Publisher Orders 6-Day Weeks Ahead of Game Debut – Bloomberg https://t.co/uoKvkkbMeu,k29664911,2020-09-29 23:59:26+00:00,en,,
1311093171741511680,"Mesmos com anos de desenvolvimento e meses de adiamento, a CD Projekt está correndo para entregar Cyberpunk 2077. Essa corrida para entregar algo ""muito maior, muito mais realístico"" tem sempre esse tipo de comportamento pelas produtoras.A pergunta que fica: até quando?",danielreen,2020-09-29 23:59:05+00:00,pt,,
1311093156369162240,"We gonna need tweet &amp; video clip compilations of everyone who criticized Naughty Dog, Rockstar and anyone else for Crunch time, and is keeping silent or defending CD Projekt Red's Crunch time &amp; microtransactions. Just to see who is real &amp; who a biased hack #Cyberpunk2077 #CDPR",salacious_v,2020-09-29 23:59:02+00:00,en,,"['Cyberpunk2077', 'CDPR']"
1311093029176999937,"Cyberpunk 2077 dev breaks promise, will force employees to work six days a week https://t.co/C2Hebbe6Rn",buzz_tic,2020-09-29 23:58:31+00:00,en,,
1311092973174763523,"@smg4official will smg4 ever have a glitch console?  because even though it costs about 4,000 because I live in Brazil and is being ported I would try to buy it and also ... I WANT THE OFFICIAL META RUNNER GAME TO CONTROL THE TARI IN THE WORLD IT SEEMS LIKE CYBERPUNK 2077",Marioexe121,2020-09-29 23:58:18+00:00,en,,
1311092971081617408,"Hey! @CyberpunkGame, please don't over work. If needed just delay #Cyberpunk2077.",RangerGains,2020-09-29 23:58:17+00:00,en,,['Cyberpunk2077']
1311092906204123136,"Cyberpunk 2077 dev breaks promise, will force employees to work six days a week https://t.co/jvQO9DWhVa https://t.co/gHTk4J3YrW",VideoGameNews,2020-09-29 23:58:02+00:00,en,,
1311092757948227586,@famitsu You’re breathtaking! 待ってるぜ!🦾🕶 #Cyberpunk2077 👨‍🎤👩‍🎤🧑‍🎤 https://t.co/VDWIci7udl,RoundMountain48,2020-09-29 23:57:27+00:00,ja,,['Cyberpunk2077']
1311092453349392385,"Cyberpunk 2077 dev breaks promise, will force employees to work six days a week https://t.co/RTWZP8nTh5 https://t.co/sDxG6MLs85",verge,2020-09-29 23:56:14+00:00,en,,
1311092402589925376,Cyberpunk 2077 Devs Reportedly Required to Crunch to Meet November Release Date https://t.co/VQ31u97Rq3,NewsItech,2020-09-29 23:56:02+00:00,en,,
1311092355269828610,Cyberpunk 2077 Devs Reportedly Required to Crunch to Meet November Release Date https://t.co/T0PbsHOQbx,iTechNewzz,2020-09-29 23:55:51+00:00,en,,
